utc,dht_temp_C,dht_humidity_pct,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,mpu_temp_C,lsm_ax,lsm_ay,lsm_az,lsm_gx,lsm_gy,lsm_gz,lis_mx,lis_my,lis_mz,lps_pressure_hPa,lps_altitude_m,lps_temp_C
2025-06-01T12:00:00Z,23.41,47.23,0.121,-0.084,9.823,0.012,-0.023,0.008,28.12,0.012,-0.009,1.002,0.45,-0.32,0.78,0.2103,0.0298,-0.4201,1013.27,142.3,22.51
2025-06-01T12:00:01Z,23.38,47.31,-0.093,0.201,9.798,-0.018,0.031,-0.011,28.09,-0.010,0.021,0.998,-0.67,0.54,-0.23,0.2098,0.0301,-0.4198,1013.25,142.5,22.49
2025-06-01T12:00:02Z,23.42,47.19,0.214,-0.156,9.841,0.027,-0.009,0.019,28.15,0.022,-0.016,1.003,0.89,-0.71,0.34,0.2101,0.0296,-0.4203,1013.28,142.2,22.52
2025-06-01T12:00:03Z,23.39,47.28,-0.178,0.132,9.812,-0.014,0.022,-0.017,28.08,-0.018,0.014,0.999,-0.43,0.61,-0.55,0.2099,0.0303,-0.4197,1013.24,142.6,22.48
2025-06-01T12:00:04Z,23.43,47.15,0.089,-0.241,9.834,0.031,-0.028,0.024,28.21,0.009,-0.025,1.001,0.72,-0.48,0.91,0.2104,0.0295,-0.4205,1013.29,142.1,22.53
2025-06-01T12:00:05Z,23.37,47.35,-0.267,0.098,9.807,-0.022,0.017,-0.013,28.07,-0.027,0.010,0.997,-0.81,0.39,-0.67,0.2097,0.0304,-0.4196,1013.23,142.7,22.47
2025-06-01T12:00:06Z,23.44,47.11,0.143,-0.189,9.852,0.018,-0.034,0.021,28.18,0.015,-0.019,1.004,0.56,-0.83,0.42,0.2102,0.0297,-0.4202,1013.30,142.0,22.54
2025-06-01T12:00:07Z,23.36,47.42,-0.112,0.276,9.819,-0.029,0.011,-0.026,28.11,-0.011,0.028,0.998,-0.34,0.72,-0.89,0.2100,0.0302,-0.4199,1013.22,142.8,22.46
2025-06-01T12:00:08Z,23.45,47.08,0.231,-0.067,9.843,0.024,-0.019,0.016,28.24,0.024,-0.007,1.002,0.93,-0.27,0.63,0.2105,0.0294,-0.4206,1013.31,141.9,22.55
2025-06-01T12:00:09Z,23.35,47.48,-0.198,0.154,9.811,-0.016,0.028,-0.022,28.06,-0.020,0.016,0.999,-0.58,0.45,-0.74,0.2098,0.0305,-0.4195,1013.21,142.9,22.45
2025-06-01T12:00:10Z,23.46,47.05,0.076,-0.223,9.837,0.033,-0.012,0.029,28.19,0.008,-0.023,1.003,0.41,-0.91,0.37,0.2103,0.0296,-0.4204,1013.32,141.8,22.56
2025-06-01T12:00:11Z,23.34,47.51,-0.289,0.111,9.804,-0.021,0.036,-0.018,28.09,-0.029,0.011,0.996,-0.76,0.63,-0.52,0.2099,0.0303,-0.4198,1013.20,143.0,22.44
2025-06-01T12:00:12Z,23.47,47.02,0.167,-0.198,9.858,0.015,-0.027,0.023,28.22,0.017,-0.020,1.005,0.68,-0.44,0.85,0.2104,0.0295,-0.4205,1013.33,141.7,22.57
2025-06-01T12:00:13Z,23.33,47.55,-0.134,0.243,9.816,-0.026,0.014,-0.031,28.08,-0.014,0.025,0.998,-0.49,0.57,-0.93,0.2097,0.0306,-0.4194,1013.19,143.1,22.43
2025-06-01T12:00:14Z,23.48,46.99,0.256,-0.089,9.847,0.028,-0.021,0.017,28.25,0.026,-0.009,1.002,0.87,-0.35,0.59,0.2102,0.0298,-0.4201,1013.34,141.6,22.58
2025-06-01T12:00:15Z,23.32,47.58,-0.178,0.167,9.813,-0.019,0.031,-0.024,28.07,-0.018,0.017,0.999,-0.62,0.48,-0.71,0.2100,0.0301,-0.4200,1013.18,143.2,22.42
2025-06-01T12:00:16Z,23.49,46.96,0.094,-0.234,9.839,0.036,-0.016,0.031,28.20,0.010,-0.024,1.003,0.53,-0.87,0.44,0.2105,0.0293,-0.4207,1013.35,141.5,22.59
2025-06-01T12:00:17Z,23.31,47.61,-0.267,0.123,9.806,-0.023,0.038,-0.019,28.10,-0.027,0.013,0.997,-0.84,0.66,-0.58,0.2098,0.0304,-0.4197,1013.17,143.3,22.41
2025-06-01T12:00:18Z,23.50,46.93,0.189,-0.201,9.861,0.017,-0.029,0.025,28.23,0.019,-0.021,1.005,0.71,-0.41,0.88,0.2103,0.0297,-0.4202,1013.36,141.4,22.60
2025-06-01T12:00:19Z,23.30,47.64,-0.112,0.256,9.818,-0.031,0.012,-0.033,28.09,-0.011,0.026,0.998,-0.37,0.79,-0.96,0.2099,0.0305,-0.4196,1013.16,143.4,22.40
2025-06-01T12:00:20Z,23.51,46.90,0.278,-0.078,9.844,0.022,-0.024,0.018,28.26,0.028,-0.008,1.002,0.94,-0.32,0.62,0.2104,0.0294,-0.4206,1013.37,141.3,22.61
2025-06-01T12:00:21Z,23.29,47.67,-0.201,0.145,9.810,-0.018,0.033,-0.027,28.08,-0.020,0.015,0.999,-0.55,0.51,-0.74,0.2101,0.0300,-0.4201,1013.15,143.5,22.39
